term,estimate,conf.low,conf.high,median,ctrl_estimate,treatment_estimate,reduction_percentage
sham - NB,-0.3137029780574574,-4.695838260119098,4.1152236934324,-0.3137029780574574,14.588067568490647,14.260312018732954,-0.021504080412613185
txcb - NB,-6.371924996634388,-10.474349022072559,-2.2550843520007646,-6.371924996634388,14.588067568490647,8.197632021850694,-0.43679020313817063
txox - NB,-7.490842824560135,-11.37217741033424,-3.748577287173376,-7.490842824560135,14.588067568490647,7.081683316947168,-0.5134910973911244
