group,n,n_mouse,mean,median,min,max,sd,Q0.25,Q0.75,IQR
NB,6,6,14.833333333333334,14.5,12,19,2.4832774042918904,13.25,15.75,2.5
sham,6,6,14.333333333333334,14.5,8,22,4.760952285695233,11.75,15.75,4
txcb,5,5,7.8,9,3,12,4.08656334834051,4,11,7
txox,6,6,7.333333333333333,8,2,11,3.3862466931200785,5.5,9.75,4.25
