Covariate,Estimate,Est.Error,l-95% CI,u-95% CI,Notable
Intercept,1.28,0.15,0.97,1.57,*
groupsham,-0.02,0.22,-0.47,0.39,
grouptxcb,-0.59,0.25,-1.08,-0.09,*
grouptxox,-0.74,0.23,-1.21,-0.29,*
