term,estimate,std.error,conf.low,conf.high
sham - NB,-3.8094296755354193,21.153555458165997,-40.848327285926864,29.076913455836188
txcb - NB,-106.45685186134817,431.6804840104877,-270.7959524622174,6.709146480622185
txox - NB,-186.62884385677543,1207.6173690882963,-460.251827026902,-6.8730233300710015
txcb - sham,-102.03767895696303,418.19263863468274,-276.5308926927081,15.145614771360348
txox - sham,-185.52631100245785,1176.7977366446637,-476.6791446913229,1.2250000336287563
txox - txcb,-56.00429843614111,554.7049498838875,-246.10581947974416,66.6658529271346
