behavior,seconds,group,mouse
eating,60,NA,173
grooming,6,NA,173
otherWake,26,NA,173
grooming,26,NA,173
otherWake,44,NA,173
grooming,7,NA,173
otherWake,17,NA,173
climbing,13,NA,173
otherWake,31,NA,173
climbing,13,NA,173
otherWake,77,NA,173
drinking,11,NA,173
otherWake,45,NA,173
eating,16,NA,173
otherWake,16,NA,173
grooming,16,NA,173
otherWake,37,NA,173
eating,154,NA,173
grooming,28,NA,173
otherWake,102,NA,173
grooming,18,NA,173
otherWake,50,NA,173
drinking,3,NA,173
otherWake,4,NA,173
climbing,17,NA,173
otherWake,14,NA,173
BA,26,NA,173
eating,84,NA,173
otherWake,206,NA,173
eating,18,NA,173
otherWake,33,NA,173
sleep,42,NA,173
otherWake,15,NA,173
sleep,22,NA,173
grooming,65,NA,173
BA,10,NA,173
sleep,68,NA,173
otherWake,26,NA,173
eating,13,NA,173
otherWake,8,NA,173
grooming,12,NA,173
otherWake,36,NA,173
drinking,8,NA,173
otherWake,36,NA,173
grooming,26,NA,173
otherWake,4,NA,173
drinking,13,NA,173
otherWake,111,NA,173
grooming,5,NA,173
eating,84,NA,173
otherWake,215,NA,173
grooming,10,NA,173
eating,24,NA,173
otherWake,10,NA,173
grooming,8,NA,173
otherWake,17,NA,173
grooming,9,NA,173
otherWake,22,NA,173
grooming,15,NA,173
otherWake,30,NA,173
BA,86,NA,173
otherWake,21,NA,173
eating,93,NA,173
otherWake,21,NA,173
grooming,5,NA,173
otherWake,4,NA,173
drinking,6,NA,173
otherWake,28,NA,173
grooming,55,NA,173
otherWake,11,NA,173
grooming,25,NA,173
otherWake,11,NA,173
grooming,156,NA,173
otherWake,11,NA,173
grooming,3,NA,173
otherWake,15,NA,173
grooming,25,NA,173
otherWake,54,NA,173
grooming,8,NA,173
otherWake,61,NA,173
drinking,12,NA,173
otherWake,16,NA,173
grooming,6,NA,173
otherWake,118,NA,173
eating,55,NA,173
otherWake,126,NA,173
sleep,26,NA,173
otherWake,38,NA,173
drinking,8,NA,173
otherWake,79,NA,173
BA,75,NA,173
otherWake,7,NA,173
grooming,11,NA,173
otherWake,6,NA,173
eating,89,NA,173
otherWake,16,NA,173
grooming,110,NA,173
otherWake,19,NA,173
drinking,6,NA,173
otherWake,19,NA,173
climbing,12,NA,173
otherWake,101,NA,173
sleep,17,NA,173
otherWake,35,NA,173
sleep,75,NA,173
otherWake,36,NA,173
eating,7,NA,173
grooming,293,NA,173
BA,19,NA,173
eating,52,NA,173
otherWake,43,NA,173
climbing,10,NA,173
otherWake,17,NA,173
drinking,6,NA,173
climbing,6,NA,173
grooming,10,NA,173
otherWake,163,NA,173
drinking,6,NA,173
otherWake,57,NA,173
BA,51,NA,173
otherWake,10,NA,173
eating,114,NA,173
grooming,12,NA,173
otherWake,5,NA,173
drinking,12,NA,173
otherWake,56,NA,173
grooming,15,NA,173
otherWake,23,NA,173
drinking,7,NA,173
climbing,19,NA,173
grooming,33,NA,173
otherWake,53,NA,173
BA,23,NA,173
otherWake,66,NA,173
grooming,43,NA,173
eating,130,NA,173
otherWake,23,NA,173
grooming,101,NA,173
otherWake,27,NA,173
BA,10,NA,173
otherWake,53,NA,173
sleep,45,NA,173
otherWake,23,NA,173
grooming,30,NA,173
BA,10,NA,173
otherWake,12,NA,173
BA,52,NA,173
sleep,36,NA,173
otherWake,42,NA,173
grooming,27,NA,173
otherWake,9,NA,173
grooming,17,NA,173
otherWake,40,NA,173
sleep,23,NA,173
otherWake,22,NA,173
sleep,50,NA,173
otherWake,38,NA,173
sleep,84,NA,173
otherWake,36,NA,173
sleep,103,NA,173
otherWake,5,NA,173
eating,119,NA,173
otherWake,5,NA,173
grooming,5,NA,173
otherWake,42,NA,173
sleep,29,NA,173
otherWake,13,NA,173
sleep,117,NA,173
otherWake,32,NA,173
sleep,66,NA,173
otherWake,33,NA,173
sleep,88,NA,173
otherWake,20,NA,173
sleep,150,NA,173
otherWake,19,NA,173
grooming,21,NA,173
otherWake,37,NA,173
grooming,137,NA,173
otherWake,10,NA,173
grooming,219,NA,173
otherWake,10,NA,173
grooming,25,NA,173
otherWake,98,NA,173
drinking,9,NA,173
climbing,16,NA,173
otherWake,74,NA,173
drinking,12,NA,173
otherWake,79,NA,173
grooming,9,NA,173
otherWake,22,NA,173
BA,13,NA,173
eating,23,NA,173
otherWake,63,NA,173
sleep,34,NA,173
grooming,143,NA,173
eating,78,NA,173
otherWake,21,NA,173
grooming,10,NA,173
otherWake,87,NA,173
BA,17,NA,173
sleep,91,NA,173
otherWake,26,NA,173
eating,125,NA,173
otherWake,27,NA,173
sleep,14,NA,173
otherWake,49,NA,173
BA,47,NA,173
otherWake,10,NA,173
eating,13,NA,173
otherWake,41,NA,173
sleep,15,NA,173
otherWake,18,NA,173
sleep,46,NA,173
otherWake,25,NA,173
sleep,37,NA,173
otherWake,8,NA,173
grooming,145,NA,173
BA,56,NA,173
otherWake,25,NA,173
eating,138,NA,173
otherWake,13,NA,173
sleep,164,NA,173
otherWake,28,NA,173
sleep,66,NA,173
eating,87,NA,173
otherWake,19,NA,173
sleep,103,NA,173
otherWake,23,NA,173
sleep,195,NA,173
otherWake,41,NA,173
grooming,6,NA,173
drinking,8,NA,173
otherWake,24,NA,173
grooming,12,NA,173
otherWake,3,NA,173
drinking,18,NA,173
otherWake,20,NA,173
grooming,42,NA,173
otherWake,17,NA,173
grooming,88,NA,173
otherWake,25,NA,173
grooming,41,NA,173
otherWake,10,NA,173
grooming,16,NA,173
otherWake,51,NA,173
drinking,3,NA,173
otherWake,30,NA,173
climbing,5,NA,173
drinking,2,NA,173
climbing,11,NA,173
otherWake,13,NA,173
climbing,5,NA,173
otherWake,23,NA,173
grooming,4,NA,173
otherWake,36,NA,173
BA,11,NA,173
otherWake,5,NA,173
eating,36,NA,173
otherWake,17,NA,173
grooming,15,NA,173
otherWake,72,NA,173
drinking,7,NA,173
otherWake,100,NA,173
sleep,14,NA,173
eating,7,NA,173
otherWake,42,NA,173
sleep,95,NA,173
otherWake,7,NA,173
eating,184,NA,173
otherWake,35,NA,173
sleep,99,NA,173
otherWake,17,NA,173
grooming,17,NA,173
otherWake,34,NA,173
sleep,6,NA,173
otherWake,29,NA,173
sleep,44,NA,173
grooming,10,NA,173
otherWake,30,NA,173
sleep,164,NA,173
otherWake,58,NA,173
sleep,22,NA,173
otherWake,22,NA,173
sleep,84,NA,173
otherWake,14,NA,173
eating,106,NA,173
grooming,9,NA,170
otherWake,37,NA,170
eating,21,NA,170
otherWake,57,NA,170
drinking,6,NA,170
otherWake,89,NA,170
drinking,4,NA,170
otherWake,183,NA,170
eating,192,NA,170
otherWake,19,NA,170
drinking,20,NA,170
otherWake,22,NA,170
grooming,280,NA,170
BA,26,NA,170
sleeping,252,NA,170
otherWake,6,NA,170
grooming,477,NA,170
otherWake,20,NA,170
eating,200,NA,170
otherWake,15,NA,170
drinking,8,NA,170
otherWake,9,NA,170
BA,39,NA,170
otherWake,28,NA,170
BA,43,NA,170
sleeping,249,NA,170
grooming,335,NA,170
otherWake,12,NA,170
eating,39,NA,170
otherWake,73,NA,170
drinking,12,NA,170
otherWake,201,NA,170
grooming,7,NA,170
drinking,4,NA,170
otherWake,134,NA,170
eating,13,NA,170
otherWake,33,NA,170
drinking,14,NA,170
otherWake,67,NA,170
eating,22,NA,170
otherWake,109,NA,170
grooming,16,NA,170
otherWake,33,NA,170
eating,280,NA,170
otherWake,89,NA,170
eating,240,NA,170
otherWake,14,NA,170
drinking,17,NA,170
otherWake,134,NA,170
eating,50,NA,170
otherWake,9,NA,170
grooming,20,NA,170
otherWake,230,NA,170
eating,45,NA,170
otherWake,57,NA,170
eating,15,NA,170
otherWake,81,NA,170
grooming,454,NA,170
BA,56,NA,170
grooming,3,NA,170
sleeping,186,NA,170
grooming,339,NA,170
BA,32,NA,170
grooming,29,NA,170
BA,52,NA,170
sleeping,240,NA,170
grooming,59,NA,170
otherWake,10,NA,170
eating,244,NA,170
otherWake,7,NA,170
drinking,23,NA,170
otherWake,41,NA,170
sleeping,19,NA,170
otherWake,82,NA,170
sleeping,240,NA,170
otherWake,4,NA,170
grooming,31,NA,170
sleeping,452,NA,170
grooming,44,NA,170
otherWake,6,NA,170
eating,193,NA,170
otherWake,26,NA,170
sleeping,722,NA,170
grooming,765,NA,170
otherWake,8,NA,170
drinking,12,NA,170
otherWake,18,NA,170
drinking,8,NA,170
otherWake,73,NA,170
drinking,13,NA,170
otherWake,75,NA,170
eating,182,NA,170
otherWake,73,NA,170
drinking,8,NA,170
otherWake,29,NA,170
grooming,16,NA,170
sleeping,557,NA,170
grooming,336,NA,170
BA,22,NA,170
grooming,88,NA,170
BA,17,NA,170
grooming,170,NA,170
BA,11,NA,170
grooming,34,NA,170
BA,10,NA,170
grooming,61,NA,170
BA,14,NA,170
grooming,65,NA,170
BA,115,NA,170
grooming,392,NA,170
otherWake,320,NA,170
eating,412,NA,170
otherWake,23,NA,170
drinking,19,NA,170
otherWake,51,NA,170
drinking,8,NA,170
otherWake,57,NA,170
BA,17,NA,170
otherWake,44,NA,170
drinking,8,NA,170
otherWake,113,NA,170
eating,155,NA,170
otherWake,47,NA,170
grooming,36,NA,170
otherWake,60,NA,170
eating,39,NA,170
otherWake,31,NA,170
eating,47,NA,170
otherWake,110,NA,170
grooming,53,NA,170
otherWake,140,NA,170
grooming,30,NA,170
BA,40,NA,170
grooming,147,NA,170
sleeping,501,NA,170
grooming,19,NA,170
eating,259,NA,170
otherWake,27,NA,170
drinking,19,NA,170
otherWake,18,NA,170
sleeping,52,NA,170
grooming,401,NA,170
grooming,76,NA,196
otherWake,18,NA,196
sleeping,490,NA,196
grooming,11,NA,196
otherWake,7,NA,196
eating,119,NA,196
otherWake,157,NA,196
climbing,21,NA,196
otherWake,39,NA,196
drinking,6,NA,196
otherWake,18,NA,196
climbing,34,NA,196
otherWake,62,NA,196
climbing,33,NA,196
otherWake,28,NA,196
drinking,11,NA,196
otherWake,97,NA,196
climbing,15,NA,196
otherWake,20,NA,196
climbing,19,NA,196
otherWake,108,NA,196
grooming,9,NA,196
otherWake,30,NA,196
grooming,20,NA,196
otherWake,175,NA,196
climbing,71,NA,196
otherWake,32,NA,196
eating,13,NA,196
otherWake,56,NA,196
grooming,12,NA,196
otherWake,7,NA,196
climbing,41,NA,196
otherWake,17,NA,196
grooming,7,NA,196
otherWake,8,NA,196
climbing,27,NA,196
otherWake,157,NA,196
climbing,21,NA,196
otherWake,18,NA,196
climbing,16,NA,196
otherWake,14,NA,196
grooming,12,NA,196
otherWake,50,NA,196
grooming,12,NA,196
otherWake,218,NA,196
climbing,5,NA,196
otherWake,16,NA,196
climbing,30,NA,196
otherWake,21,NA,196
climbing,15,NA,196
otherWake,21,NA,196
climbing,6,NA,196
otherWake,108,NA,196
climbing,22,NA,196
otherWake,69,NA,196
climbing,27,NA,196
otherWake,3,NA,196
eating,128,NA,196
otherWake,83,NA,196
grooming,73,NA,196
otherWake,37,NA,196
climbing,4,NA,196
otherWake,73,NA,196
eating,15,NA,196
otherWake,213,NA,196
grooming,4,NA,196
otherWake,15,NA,196
climbing,64,NA,196
otherWake,16,NA,196
drinking,11,NA,196
otherWake,9,NA,196
climbing,27,NA,196
otherWake,12,NA,196
climbing,98,NA,196
otherWake,42,NA,196
climbing,24,NA,196
otherWake,16,NA,196
climbing,22,NA,196
otherWake,59,NA,196
grooming,10,NA,196
otherWake,17,NA,196
grooming,77,NA,196
otherWake,14,NA,196
grooming,16,NA,196
eating,85,NA,196
otherWake,95,NA,196
BA,36,NA,196
otherWake,36,NA,196
BA,24,NA,196
otherWake,24,NA,196
eating,109,NA,196
otherWake,37,NA,196
grooming,88,NA,196
otherWake,22,NA,196
BA,65,NA,196
otherWake,27,NA,196
grooming,106,NA,196
BA,65,NA,196
grooming,9,NA,196
otherWake,19,NA,196
sleeping,244,NA,196
otherWake,20,NA,196
sleeping,129,NA,196
otherWake,29,NA,196
sleeping,266,NA,196
otherWake,32,NA,196
sleeping,23,NA,196
otherWake,34,NA,196
eating,94,NA,196
otherWake,7,NA,196
drinking,4,NA,196
otherWake,14,NA,196
drinking,7,NA,196
otherWake,224,NA,196
sleeping,74,NA,196
otherWake,29,NA,196
eating,96,NA,196
otherWake,31,NA,196
grooming,10,NA,196
otherWake,288,NA,196
sleeping,24,NA,196
otherWake,50,NA,196
sleeping,173,NA,196
otherWake,18,NA,196
eating,104,NA,196
otherWake,5,NA,196
drinking,5,NA,196
otherWake,10,NA,196
grooming,61,NA,196
otherWake,86,NA,196
grooming,240,NA,196
BA,10,NA,196
grooming,27,NA,196
otherWake,65,NA,196
grooming,158,NA,196
otherWake,93,NA,196
drinking,5,NA,196
otherWake,25,NA,196
grooming,3,NA,196
otherWake,210,NA,196
grooming,200,NA,196
otherWake,51,NA,196
climbing,16,NA,196
otherWake,44,NA,196
climbing,29,NA,196
otherWake,4,NA,196
eating,72,NA,196
otherWake,23,NA,196
climbing,36,NA,196
otherWake,8,NA,196
climbing,48,NA,196
otherWake,7,NA,196
climbing,17,NA,196
otherWake,16,NA,196
climbing,26,NA,196
otherWake,39,NA,196
drinking,11,NA,196
otherWake,8,NA,196
grooming,8,NA,196
otherWake,157,NA,196
eating,22,NA,196
otherWake,49,NA,196
grooming,7,NA,196
otherWake,30,NA,196
climbing,78,NA,196
otherWake,23,NA,196
climbing,23,NA,196
otherWake,79,NA,196
climbing,28,NA,196
otherWake,16,NA,196
climbing,32,NA,196
otherWake,37,NA,196
eating,91,NA,196
BA,22,NA,196
eating,22,NA,196
otherWake,10,NA,196
drinking,10,NA,196
otherWake,101,NA,196
BA,24,NA,196
eating,50,NA,196
otherWake,53,NA,196
sleeping,23,NA,196
otherWake,14,NA,196
grooming,62,NA,196
otherWake,32,NA,196
sleeping,93,NA,196
otherWake,14,NA,196
eating,67,NA,196
BA,26,NA,196
otherWake,12,NA,196
drinking,8,NA,196
otherWake,134,NA,196
drinking,8,NA,196
otherWake,33,NA,196
sleeping,221,NA,196
otherWake,38,NA,196
sleeping,299,NA,196
otherWake,30,NA,196
sleeping,98,NA,196
grooming,13,NA,196
otherWake,8,NA,196
eating,120,NA,196
otherWake,33,NA,196
sleeping,154,NA,196
otherWake,41,NA,196
sleeping,156,NA,196
otherWake,14,NA,196
drinking,14,NA,196
otherWake,38,NA,196
sleeping,23,NA,196
grooming,71,NA,196
BA,24,NA,196
sleeping,182,NA,196
grooming,15,NA,196
sleeping,27,NA,196
otherWake,24,NA,196
sleeping,159,NA,196
otherWake,10,NA,196
sleeping,243,NA,196
otherWake,15,NA,196
eating,69,NA,196
BA,10,NA,196
eating,41,NA,196
grooming,8,NA,196
otherWake,12,NA,196
grooming,661,NA,196
otherWake,10,NA,196
grooming,29,NA,196
otherWake,114,NA,196
grooming,169,NA,196
otherWake,32,NA,196
drinking,7,NA,196
otherWake,45,NA,196
grooming,11,NA,196
otherWake,17,NA,196
drinking,6,NA,196
grooming,16,NA,196
otherWake,31,NA,196
climbing,12,NA,196
otherWake,32,NA,196
BA,15,NA,196
otherWake,39,NA,196
climbing,119,NA,196
otherWake,7,NA,196
drinking,11,NA,196
otherWake,31,NA,196
climbing,95,NA,196
otherWake,24,NA,196
eating,139,NA,196
otherWake,83,NA,196
grooming,59,NA,196
otherWake,16,NA,196
climbing,51,NA,196
otherWake,9,NA,196
climbing,9,NA,196
otherWake,143,NA,196
drinking,4,NA,196
otherWake,44,NA,196
climbing,31,NA,196
otherWake,24,NA,196
eating,50,NA,196
otherWake,15,NA,196
drinking,6,NA,196
otherWake,10,NA,196
climbing,13,NA,196
otherWake,76,NA,196
sleeping,21,NA,196
otherWake,4,NA,196
eating,69,NA,196
otherWake,33,NA,196
grooming,17,NA,196
sleep,237,NA,88
otherWake,8,NA,88
eating,75,NA,88
otherWake,38,NA,88
grooming,10,NA,88
otherWake,3,NA,88
sleep,44,NA,88
otherWake,25,NA,88
sleep,172,NA,88
grooming,10,NA,88
otherWake,39,NA,88
eating,44,NA,88
otherWake,83,NA,88
sleep,472,NA,88
otherWake,16,NA,88
sleep,686,NA,88
grooming,224,NA,88
sleep,291,NA,88
grooming,22,NA,88
eating,6,NA,88
otherWake,25,NA,88
eating,64,NA,88
otherWake,55,NA,88
drinking,8,NA,88
otherWake,56,NA,88
grooming,43,NA,88
sleep,228,NA,88
otherWake,11,NA,88
grooming,9,NA,88
otherWake,26,NA,88
grooming,79,NA,88
sleep,160,NA,88
otherWake,16,NA,88
sleep,236,NA,88
grooming,32,NA,88
otherWake,50,NA,88
sleep,537,NA,88
grooming,110,NA,88
otherWake,18,NA,88
eating,144,NA,88
otherWake,198,NA,88
drinking,15,NA,88
otherWake,90,NA,88
eating,77,NA,88
otherWake,26,NA,88
sleep,220,NA,88
otherWake,28,NA,88
eating,16,NA,88
otherWake,26,NA,88
grooming,90,NA,88
sleep,428,NA,88
otherWake,6,NA,88
grooming,414,NA,88
otherWake,9,NA,88
eating,36,NA,88
otherWake,26,NA,88
grooming,5,NA,88
eating,63,NA,88
otherWake,100,NA,88
grooming,5,NA,88
otherWake,10,NA,88
eating,30,NA,88
otherWake,23,NA,88
eating,41,NA,88
otherWake,104,NA,88
eating,11,NA,88
otherWake,8,NA,88
drinking,3,NA,88
otherWake,21,NA,88
BA,41,NA,88
sleep,88,NA,88
otherWake,39,NA,88
eating,194,NA,88
otherWake,7,NA,88
drinking,38,NA,88
otherWake,15,NA,88
sleep,41,NA,88
otherWake,35,NA,88
sleep,211,NA,88
otherWake,29,NA,88
sleep,52,NA,88
otherWake,127,NA,88
drinking,15,NA,88
otherWake,23,NA,88
eating,9,NA,88
otherWake,115,NA,88
eating,14,NA,88
otherWake,19,NA,88
drinking,4,NA,88
otherWake,43,NA,88
eating,11,NA,88
otherWake,143,NA,88
eating,56,NA,88
otherWake,64,NA,88
grooming,71,NA,88
otherWake,3,NA,88
drinking,11,NA,88
otherWake,105,NA,88
grooming,7,NA,88
otherWake,53,NA,88
eating,71,NA,88
grooming,20,NA,88
otherWake,79,NA,88
grooming,3,NA,88
otherWake,56,NA,88
eating,43,NA,88
otherWake,214,NA,88
grooming,4,NA,88
otherWake,324,NA,88
eating,97,NA,88
otherWake,30,NA,88
drinking,5,NA,88
otherWake,79,NA,88
grooming,173,NA,88
BA,76,NA,88
grooming,50,NA,88
otherWake,13,NA,88
grooming,271,NA,88
BA,91,NA,88
otherWake,28,NA,88
sleep,163,NA,88
otherWake,22,NA,88
eating,165,NA,88
otherWake,15,NA,88
drinking,15,NA,88
otherWake,74,NA,88
drinking,6,NA,88
otherWake,37,NA,88
climbing,10,NA,88
drinking,6,NA,88
otherWake,7,NA,88
climbing,9,NA,88
otherWake,6,NA,88
drinking,5,NA,88
otherWake,6,NA,88
climbing,7,NA,88
otherWake,13,NA,88
climbing,15,NA,88
drinking,3,NA,88
otherWake,93,NA,88
BA,28,NA,88
otherWake,15,NA,88
drinking,21,NA,88
otherWake,63,NA,88
BA,25,NA,88
grooming,10,NA,88
otherWake,33,NA,88
sleep,166,NA,88
otherWake,13,NA,88
grooming,50,NA,88
otherWake,9,NA,88
eating,17,NA,88
otherWake,25,NA,88
eating,176,NA,88
otherWake,65,NA,88
sleep,404,NA,88
otherWake,24,NA,88
drinking,21,NA,88
otherWake,277,NA,88
grooming,9,NA,88
otherWake,58,NA,88
drinking,10,NA,88
otherWake,36,NA,88
grooming,27,NA,88
BA,13,NA,88
grooming,12,NA,88
BA,35,NA,88
grooming,19,NA,88
sleep,189,NA,88
otherWake,22,NA,88
grooming,207,NA,88
BA,53,NA,88
sleep,114,NA,88
otherWake,25,NA,88
sleep,218,NA,88
otherWake,15,NA,88
grooming,10,NA,88
sleep,567,NA,88
otherWake,22,NA,88
sleep,25,NA,88
otherWake,4,NA,88
grooming,104,NA,88
BA,16,NA,88
sleep,137,NA,88
otherWake,33,NA,88
sleep,395,NA,88
grooming,39,NA,88
otherWake,18,NA,88
eating,13,NA,88
sleep,191,NA,93
otherWake,49,NA,93
eating,56,NA,93
otherWake,234,NA,93
drinking,11,NA,93
otherWake,45,NA,93
grooming,12,NA,93
otherWake,153,NA,93
eating,51,NA,93
otherWake,63,NA,93
eating,31,NA,93
otherWake,164,NA,93
drinking,3,NA,93
otherWake,18,NA,93
eating,19,NA,93
grooming,110,NA,93
otherWake,10,NA,93
grooming,121,NA,93
otherWake,71,NA,93
eating,25,NA,93
BA,28,NA,93
eating,65,NA,93
BA,22,NA,93
sleep,149,NA,93
otherWake,50,NA,93
sleep,110,NA,93
otherWake,45,NA,93
sleep,121,NA,93
otherWake,10,NA,93
sleep,253,NA,93
otherWake,12,NA,93
grooming,366,NA,93
otherWake,40,NA,93
eating,38,NA,93
otherWake,43,NA,93
drinking,3,NA,93
otherWake,94,NA,93
eating,28,NA,93
otherWake,42,NA,93
drinking,16,NA,93
otherWake,49,NA,93
eating,75,NA,93
otherWake,18,NA,93
grooming,10,NA,93
otherWake,42,NA,93
sleep,39,NA,93
otherWake,36,NA,93
sleep,123,NA,93
otherWake,5,NA,93
eating,82,NA,93
otherWake,23,NA,93
eating,66,NA,93
otherWake,16,NA,93
grooming,87,NA,93
BA,27,NA,93
sleep,64,NA,93
otherWake,9,NA,93
drinking,12,NA,93
otherWake,100,NA,93
eating,14,NA,93
otherWake,105,NA,93
eating,37,NA,93
otherWake,81,NA,93
BA,27,NA,93
otherWake,30,NA,93
drinking,11,NA,93
otherWake,20,NA,93
BA,44,NA,93
otherWake,3,NA,93
eating,123,NA,93
otherWake,20,NA,93
grooming,56,NA,93
BA,21,NA,93
grooming,70,NA,93
eating,19,NA,93
otherWake,30,NA,93
BA,83,NA,93
otherWake,53,NA,93
drinking,5,NA,93
otherWake,68,NA,93
grooming,123,NA,93
BA,13,NA,93
grooming,41,NA,93
otherWake,27,NA,93
eating,127,NA,93
otherWake,110,NA,93
drinking,4,NA,93
otherWake,120,NA,93
grooming,27,NA,93
otherWake,63,NA,93
drinking,6,NA,93
otherWake,21,NA,93
grooming,216,NA,93
BA,15,NA,93
grooming,150,NA,93
eating,76,NA,93
otherWake,91,NA,93
sleep,23,NA,93
otherWake,8,NA,93
drinking,6,NA,93
grooming,8,NA,93
otherWake,55,NA,93
grooming,10,NA,93
eating,16,NA,93
otherWake,133,NA,93
drinking,12,NA,93
otherWake,27,NA,93
grooming,11,NA,93
otherWake,10,NA,93
grooming,8,NA,93
otherWake,13,NA,93
eating,163,NA,93
otherWake,108,NA,93
eating,26,NA,93
otherWake,23,NA,93
sleep,745,NA,93
otherWake,10,NA,93
sleep,12,NA,93
otherWake,38,NA,93
sleep,71,NA,93
otherWake,3,NA,93
drinking,12,NA,93
otherWake,24,NA,93
sleep,527,NA,93
otherWake,12,NA,93
sleep,174,NA,93
otherWake,10,NA,93
sleep,133,NA,93
grooming,431,NA,93
otherWake,8,NA,93
grooming,292,NA,93
otherWake,4,NA,93
eating,17,NA,93
otherWake,16,NA,93
eating,35,NA,93
otherWake,155,NA,93
grooming,20,NA,93
otherWake,15,NA,93
eating,79,NA,93
otherWake,94,NA,93
drinking,15,NA,93
otherWake,79,NA,93
eating,136,NA,93
otherWake,26,NA,93
grooming,6,NA,93
eating,12,NA,93
otherWake,84,NA,93
drinking,7,NA,93
otherWake,132,NA,93
eating,99,NA,93
otherWake,95,NA,93
BA,32,NA,93
otherWake,8,NA,93
drinking,6,NA,93
otherWake,34,NA,93
eating,85,NA,93
otherWake,14,NA,93
grooming,87,NA,93
otherWake,52,NA,93
grooming,257,NA,93
otherWake,60,NA,93
eating,15,NA,93
otherWake,7,NA,93
grooming,38,NA,93
otherWake,17,NA,93
grooming,106,NA,93
otherWake,3,NA,93
drinking,10,NA,93
otherWake,14,NA,93
grooming,5,NA,93
otherWake,37,NA,93
grooming,16,NA,93
BA,13,NA,93
sleep,106,NA,93
otherWake,16,NA,93
eating,120,NA,93
otherWake,40,NA,93
sleep,470,NA,93
otherWake,16,NA,93
sleep,212,NA,93
otherWake,19,NA,93
sleep,295,NA,93
otherWake,64,NA,93
sleep,212,NA,93
otherWake,67,NA,93
sleep,256,NA,93
otherWake,20,NA,93
drinking,4,NA,93
otherWake,13,NA,93
grooming,266,NA,93
sleep,325,NA,132
otherWake,161,NA,132
sleep,181,NA,132
otherWake,31,NA,132
grooming,112,NA,132
otherWake,37,NA,132
BA,16,NA,132
sleep,182,NA,132
grooming,305,NA,132
BA,33,NA,132
grooming,201,NA,132
BA,48,NA,132
sleep,84,NA,132
grooming,40,NA,132
otherWake,34,NA,132
drinking,9,NA,132
otherWake,38,NA,132
eating,211,NA,132
otherWake,585,NA,132
grooming,22,NA,132
otherWake,22,NA,132
grooming,21,NA,132
otherWake,120,NA,132
eating,114,NA,132
otherWake,13,NA,132
sleep,76,NA,132
grooming,25,NA,132
otherWake,41,NA,132
sleep,21,NA,132
eating,11,NA,132
drinking,16,NA,132
otherWake,53,NA,132
sleep,816,NA,132
grooming,140,NA,132
otherWake,17,NA,132
BA,58,NA,132
grooming,465,NA,132
otherWake,15,NA,132
eating,389,NA,132
otherWake,53,NA,132
drinking,16,NA,132
otherWake,14,NA,132
drinking,3,NA,132
otherWake,66,NA,132
grooming,8,NA,132
otherWake,27,NA,132
sleep,85,NA,132
otherWake,47,NA,132
sleep,115,NA,132
otherWake,19,NA,132
eating,80,NA,132
sleep,123,NA,132
otherWake,96,NA,132
grooming,11,NA,132
otherWake,227,NA,132
BA,15,NA,132
otherWake,6,NA,132
BA,21,NA,132
otherWake,4,NA,132
eating,142,NA,132
BA,26,NA,132
otherWake,192,NA,132
grooming,23,NA,132
otherWake,15,NA,132
grooming,25,NA,132
otherWake,84,NA,132
BA,15,NA,132
otherWake,44,NA,132
sleep,110,NA,132
otherWake,16,NA,132
sleep,63,NA,132
otherWake,21,NA,132
sleep,92,NA,132
otherWake,18,NA,132
sleep,34,NA,132
otherWake,25,NA,132
sleep,26,NA,132
otherWake,10,NA,132
sleep,30,NA,132
otherWake,10,NA,132
sleep,50,NA,132
otherWake,16,NA,132
sleep,17,NA,132
otherWake,24,NA,132
sleep,21,NA,132
grooming,6,NA,132
eating,61,NA,132
BA,75,NA,132
eating,200,NA,132
otherWake,59,NA,132
eating,34,NA,132
BA,27,NA,132
eating,137,NA,132
BA,23,NA,132
eating,54,NA,132
grooming,26,NA,132
otherWake,24,NA,132
grooming,6,NA,132
otherWake,25,NA,132
sleep,54,NA,132
otherWake,30,NA,132
eating,141,NA,132
otherWake,45,NA,132
sleep,33,NA,132
grooming,8,NA,132
otherWake,12,NA,132
grooming,6,NA,132
otherWake,18,NA,132
sleep,219,NA,132
otherWake,10,NA,132
drinking,33,NA,132
otherWake,22,NA,132
eating,41,NA,132
otherWake,39,NA,132
grooming,229,NA,132
BA,20,NA,132
sleep,404,NA,132
otherWake,29,NA,132
sleep,459,NA,132
otherWake,23,NA,132
grooming,3,NA,132
otherWake,27,NA,132
sleep,138,NA,132
eating,96,NA,132
otherWake,11,NA,132
drinking,21,NA,132
otherWake,27,NA,132
sleep,58,NA,132
otherWake,22,NA,132
grooming,22,NA,132
drinking,9,NA,132
otherWake,55,NA,132
eating,30,NA,132
otherWake,13,NA,132
sleep,585,NA,132
otherWake,6,NA,132
eating,27,NA,132
otherWake,24,NA,132
sleep,79,NA,159
grooming,582,NA,159
BA,22,NA,159
sleep,424,NA,159
grooming,376,NA,159
otherWake,8,NA,159
eating,154,NA,159
otherWake,20,NA,159
sleep,485,NA,159
otherWake,15,NA,159
sleep,284,NA,159
grooming,297,NA,159
otherWake,17,NA,159
eating,103,NA,159
otherWake,45,NA,159
grooming,61,NA,159
otherWake,111,NA,159
eating,52,NA,159
otherWake,12,NA,159
sleep,364,NA,159
otherWake,28,NA,159
sleep,268,NA,159
otherWake,14,NA,159
