term,estimate,std.error,conf.low,conf.high
sham - NB,-8.28827830735862,-6.887737852578469,5.219568756880151,-21.548807883538416
txcb - NB,-20.489093979825046,-6.417793103490028,-7.4217715163753,-32.56887648849072
txox - NB,-29.261800035666063,-5.589204426119881,-17.90064846267119,-39.90000819070243
txcb - sham,-13.049892186527416,-7.141338749154359,0.6416466465926894,-27.093224938669803
txox - sham,-22.658664859304057,-6.0367020037697,-11.358005285119194,-34.76627415524394
txox - txcb,-10.705810532700768,-7.558604879568741,4.620025477169066,-25.08999795957669
