group,n,n_mouse,mean,median,min,max,sd
NB,6,6,0.04857604087392996,0.04424852979089063,0.03474639907160899,0.07025527981227334,0.01398381989674474
sham,6,6,0.03745885029890629,0.03401355026553122,0.021911262798634812,0.0655250495329748,0.015297873309149834
txcb,5,5,0.02262461338445366,0.02424468481909735,0.01135576789918294,0.03402834190811445,0.008632621499332178
txox,6,6,0.01419125400116033,0.013659354531529107,0.004436676525947835,0.024349116417105087,0.006950046636169522
