Covariate,Estimate,Est.Error,l-95% CI,u-95% CI,Notable
Intercept,-2.98,0.16,-3.31,-2.67,*
groupsham,-0.28,0.23,-0.74,0.19,
grouptxcb,-0.78,0.28,-1.35,-0.25,*
grouptxox,-1.25,0.30,-1.86,-0.67,*
