group,n,n_mouse,mean,median,min,max,sd,Q0.25,Q0.75,IQR
WT,6,6,888,972,36,1572,510.64194892311775,738,1080,342
NB,6,6,1732,1698,1356,2148,282.3104673936126,1575,1893,318
sham,6,6,1408,1392,228,2220,744.1419219476886,1128,1980,852
txcb,6,6,1962,1872,1344,2628,490.6077863222311,1671,2307,636
txox,6,6,1872,1884,1188,2436,491.3263681098339,1566,2256,690
