Covariate,Estimate,Est.Error,l-95% CI,u-95% CI,Notable
Intercept,3.52,0.08,3.35,3.68,*
groupsham,-0.16,0.12,-0.40,0.08,
grouptxcb,-0.07,0.15,-0.37,0.23,
grouptxox,-0.36,0.14,-0.63,-0.09,*
