group,n,n_mouse,mean,median,min,max,sd,Q0.25,Q0.75,IQR
NB,6,6,0.04857604087392996,0.04424852979089063,0.03474639907160899,0.07025527981227334,0.01398381989674474,0.03846630660865755,0.05712608837022487,0.018659781761567323
sham,6,6,0.03745885029890629,0.03401355026553122,0.021911262798634812,0.0655250495329748,0.015297873309149834,0.029023192994088898,0.039950848836750985,0.010927655842662087
txcb,5,5,0.02262461338445366,0.02424468481909735,0.01135576789918294,0.03402834190811445,0.008632621499332178,0.017452246805002063,0.026042025490871513,0.00858977868586945
txox,6,6,0.01419125400116033,0.013659354531529107,0.004436676525947835,0.024349116417105087,0.006950046636169522,0.010701859504476231,0.017910084261926456,0.007208224757450225
