term,estimate,conf.low,conf.high,median,ctrl_estimate,treatment_estimate,reduction_percentage
sham - NB,-0.011436917459548668,-0.028679531383400406,0.005675014814859075,-0.011436917459548668,0.04897507279451435,0.037585651764259403,-0.2335252773902912
txcb - NB,-0.02557817900772804,-0.04134333765513313,-0.00933356716948776,-0.02557817900772804,0.04897507279451435,0.023189538938863344,-0.522269341284022
txox - NB,-0.03415029409985085,-0.049169999794057034,-0.01985025603264898,-0.03415029409985085,0.04897507279451435,0.014657630147112551,-0.6972995066926371
