Covariate,Estimate,Est.Error,l-95% CI,u-95% CI,Notable
Intercept,-2.98,0.17,-3.32,-2.66,*
groupsham,-0.28,0.24,-0.78,0.19,
grouptxcb,-0.79,0.28,-1.34,-0.25,*
grouptxox,-1.26,0.30,-1.88,-0.70,*
