term,estimate,conf.low,conf.high,median,ctrl_estimate,treatment_estimate,reduction_percentage
sham - NB,-6.6308637371548365,-16.51857486089362,3.0622929833401864,-6.6308637371548365,43.99555970659956,37.366499407949135,-0.15071665825767805
txcb - NB,-3.1452733828050476,-15.295812884787548,10.48239537354927,-3.1452733828050476,43.99555970659956,40.86028190662579,-0.07149070051115274
txox - NB,-13.336964179507769,-23.382919711859504,-2.7858708645455663,-13.336964179507769,43.99555970659956,30.672210665630033,-0.3031434142093016
