group,n,n_mouse,mean,median,min,max,sd,Q0.25,Q0.75,IQR
NB,89,6,47.69662921348315,35,10,188,41.67444292434078,17,59,42
sham,86,6,37.383720930232556,26,10,179,31.968060753582378,17,47,30
txcb,39,5,38.41025641025641,27,13,148,29.27161185276341,20.5,45.5,25
txox,44,6,28.59090909090909,20.5,10,101,21.2726685458433,15,34,19
