behavior,counts,mouse,group
2,252,712,silvestre
2,360,712,silvestre
2,132,712,silvestre
2,48,712,silvestre
2,228,712,silvestre
2,720,712,silvestre
2,864,712,silvestre
2,576,712,silvestre
2,396,712,silvestre
2,588,712,silvestre
2,48,712,silvestre
2,168,712,silvestre
2,420,712,silvestre
2,156,712,silvestre
2,360,712,silvestre
2,72,712,silvestre
2,1620,712,silvestre
2,312,712,silvestre
2,420,712,silvestre
2,144,712,silvestre
2,24,712,silvestre
2,240,712,silvestre
2,132,712,silvestre
2,204,712,silvestre
2,60,712,silvestre
2,372,712,silvestre
2,36,712,silvestre
2,336,712,silvestre
2,408,712,silvestre
2,432,712,silvestre
2,360,712,silvestre
2,24,712,silvestre
2,60,712,silvestre
2,408,712,silvestre
2,60,712,silvestre
2,72,712,silvestre
2,72,712,silvestre
2,468,712,silvestre
2,168,712,silvestre
2,36,712,silvestre
2,132,712,silvestre
2,468,712,silvestre
2,636,712,silvestre
2,108,712,silvestre
2,24,712,silvestre
2,312,712,silvestre
2,132,712,silvestre
2,744,712,silvestre
2,528,712,silvestre
2,180,712,silvestre
2,396,712,silvestre
2,264,712,silvestre
2,564,712,silvestre
2,60,712,silvestre
2,444,712,silvestre
2,132,712,silvestre
2,636,712,silvestre
2,840,712,silvestre
2,672,712,silvestre
2,48,712,silvestre
2,216,712,silvestre
2,504,712,silvestre
2,168,712,silvestre
2,324,712,silvestre
2,600,712,silvestre
2,108,712,silvestre
2,144,712,silvestre
2,228,712,silvestre
2,156,712,silvestre
2,180,712,silvestre
2,408,712,silvestre
2,684,712,silvestre
2,60,712,silvestre
2,624,742,silvestre
2,156,742,silvestre
2,552,742,silvestre
2,960,742,silvestre
2,348,742,silvestre
2,624,742,silvestre
2,348,742,silvestre
2,708,742,silvestre
2,300,742,silvestre
2,1020,742,silvestre
2,192,742,silvestre
2,552,742,silvestre
2,564,742,silvestre
2,684,742,silvestre
2,348,742,silvestre
2,384,742,silvestre
2,132,742,silvestre
2,252,742,silvestre
2,132,742,silvestre
2,372,742,silvestre
2,120,742,silvestre
2,348,742,silvestre
2,216,742,silvestre
2,240,742,silvestre
2,528,742,silvestre
2,84,742,silvestre
2,408,742,silvestre
2,288,742,silvestre
2,180,742,silvestre
2,24,742,silvestre
2,72,742,silvestre
2,60,742,silvestre
2,348,742,silvestre
2,240,742,silvestre
2,144,742,silvestre
2,96,742,silvestre
2,444,742,silvestre
2,624,742,silvestre
2,816,742,silvestre
2,12,742,silvestre
2,108,742,silvestre
2,168,742,silvestre
2,480,742,silvestre
2,168,742,silvestre
2,180,742,silvestre
2,192,742,silvestre
2,264,742,silvestre
2,552,742,silvestre
2,468,742,silvestre
2,24,742,silvestre
2,300,742,silvestre
2,492,742,silvestre
2,336,742,silvestre
2,72,742,silvestre
2,144,742,silvestre
2,36,742,silvestre
2,420,742,silvestre
2,312,742,silvestre
2,360,742,silvestre
2,456,742,silvestre
2,240,742,silvestre
2,300,742,silvestre
2,252,742,silvestre
2,348,742,silvestre
2,480,742,silvestre
2,300,742,silvestre
2,624,742,silvestre
2,876,742,silvestre
2,396,742,silvestre
2,468,742,silvestre
2,204,742,silvestre
2,60,742,silvestre
2,480,742,silvestre
2,348,742,silvestre
2,60,742,silvestre
2,96,742,silvestre
2,636,742,silvestre
2,324,742,silvestre
2,384,742,silvestre
2,324,742,silvestre
2,252,742,silvestre
2,336,742,silvestre
2,24,742,silvestre
2,12,742,silvestre
2,132,742,silvestre
2,48,742,silvestre
2,732,742,silvestre
2,708,742,silvestre
2,180,742,silvestre
2,300,742,silvestre
2,120,742,silvestre
2,516,742,silvestre
2,300,742,silvestre
2,72,742,silvestre
2,144,742,silvestre
2,300,742,silvestre
2,432,742,silvestre
2,324,742,silvestre
2,12,742,silvestre
2,336,742,silvestre
2,144,742,silvestre
2,324,742,silvestre
2,720,742,silvestre
2,132,742,silvestre
2,132,742,silvestre
2,132,742,silvestre
2,828,742,silvestre
2,408,742,silvestre
2,132,742,silvestre
2,432,742,silvestre
2,84,742,silvestre
2,12,742,silvestre
2,24,742,silvestre
2,144,742,silvestre
2,36,742,silvestre
2,132,742,silvestre
2,300,742,silvestre
2,300,742,silvestre
2,396,742,silvestre
2,288,742,silvestre
2,276,742,silvestre
2,240,742,silvestre
2,792,742,silvestre
2,540,742,silvestre
2,336,742,silvestre
2,252,742,silvestre
2,336,742,silvestre
2,516,742,silvestre
2,192,750,silvestre
2,156,750,silvestre
2,48,750,silvestre
2,264,750,silvestre
2,912,750,silvestre
2,12,750,silvestre
2,144,750,silvestre
2,252,750,silvestre
2,144,750,silvestre
2,96,750,silvestre
2,120,750,silvestre
2,348,750,silvestre
2,300,750,silvestre
2,360,750,silvestre
2,48,750,silvestre
2,408,750,silvestre
2,312,750,silvestre
2,384,750,silvestre
2,24,750,silvestre
2,192,750,silvestre
2,300,750,silvestre
2,156,750,silvestre
2,240,750,silvestre
2,180,750,silvestre
2,156,750,silvestre
2,588,750,silvestre
2,252,750,silvestre
2,60,750,silvestre
2,168,750,silvestre
2,300,750,silvestre
2,156,750,silvestre
2,60,750,silvestre
2,96,750,silvestre
2,336,750,silvestre
2,276,750,silvestre
2,48,750,silvestre
2,216,750,silvestre
2,180,750,silvestre
2,24,750,silvestre
2,360,750,silvestre
2,60,750,silvestre
2,216,750,silvestre
2,60,750,silvestre
2,60,750,silvestre
2,48,750,silvestre
2,312,750,silvestre
2,36,750,silvestre
2,96,750,silvestre
2,60,750,silvestre
2,252,750,silvestre
2,60,750,silvestre
2,96,750,silvestre
2,72,750,silvestre
2,60,750,silvestre
2,156,750,silvestre
2,108,750,silvestre
2,240,750,silvestre
2,192,750,silvestre
2,84,750,silvestre
2,276,750,silvestre
2,132,750,silvestre
2,36,750,silvestre
2,204,750,silvestre
2,84,750,silvestre
2,60,750,silvestre
2,180,750,silvestre
2,156,750,silvestre
2,192,750,silvestre
2,108,750,silvestre
2,168,750,silvestre
2,60,750,silvestre
2,324,750,silvestre
2,132,750,silvestre
2,204,750,silvestre
2,252,750,silvestre
2,108,750,silvestre
2,48,750,silvestre
2,216,750,silvestre
2,84,750,silvestre
2,48,750,silvestre
2,108,750,silvestre
2,168,750,silvestre
2,84,750,silvestre
2,120,750,silvestre
2,36,750,silvestre
2,360,750,silvestre
2,180,750,silvestre
2,36,750,silvestre
2,108,750,silvestre
2,180,750,silvestre
2,252,750,silvestre
2,12,750,silvestre
2,312,750,silvestre
2,204,750,silvestre
2,792,750,silvestre
2,180,750,silvestre
2,84,750,silvestre
2,24,750,silvestre
2,60,750,silvestre
2,420,750,silvestre
2,444,750,silvestre
2,456,750,silvestre
2,348,750,silvestre
2,384,750,silvestre
2,156,750,silvestre
2,288,750,silvestre
2,132,750,silvestre
2,252,750,silvestre
2,168,750,silvestre
2,84,750,silvestre
2,432,750,silvestre
2,180,750,silvestre
2,48,750,silvestre
2,156,750,silvestre
2,72,750,silvestre
2,288,750,silvestre
2,60,750,silvestre
2,216,750,silvestre
2,216,750,silvestre
2,168,750,silvestre
2,96,750,silvestre
2,108,750,silvestre
2,12,750,silvestre
2,120,750,silvestre
