behavior,counts,mouse,group
2,480,132,txcb
2,96,132,txcb
2,312,132,txcb
2,144,132,txcb
2,144,132,txcb
2,180,132,txcb
2,300,132,txcb
2,120,132,txcb
2,372,132,txcb
2,108,132,txcb
2,24,132,txcb
2,156,132,txcb
2,144,132,txcb
2,192,132,txcb
2,72,132,txcb
2,120,132,txcb
2,120,132,txcb
2,72,132,txcb
2,156,132,txcb
2,132,132,txcb
2,72,132,txcb
2,108,132,txcb
2,84,132,txcb
2,192,132,txcb
2,72,132,txcb
2,12,132,txcb
2,48,132,txcb
2,12,132,txcb
2,360,132,txcb
2,288,132,txcb
2,84,132,txcb
2,384,132,txcb
2,192,132,txcb
2,156,132,txcb
2,72,132,txcb
2,108,132,txcb
2,24,132,txcb
2,144,132,txcb
2,252,132,txcb
2,276,132,txcb
2,60,132,txcb
2,168,132,txcb
2,12,132,txcb
2,84,132,txcb
2,708,132,txcb
2,204,132,txcb
2,120,132,txcb
2,312,132,txcb
2,276,132,txcb
2,180,132,txcb
2,48,132,txcb
2,108,132,txcb
2,408,132,txcb
2,468,132,txcb
2,96,132,txcb
2,216,132,txcb
2,72,132,txcb
2,60,132,txcb
2,144,132,txcb
2,84,132,txcb
2,12,132,txcb
2,192,132,txcb
2,84,132,txcb
2,204,132,txcb
2,168,132,txcb
2,108,132,txcb
2,48,159,txcb
2,96,159,txcb
2,96,159,txcb
2,72,159,txcb
2,60,159,txcb
2,144,159,txcb
2,96,159,txcb
2,36,159,txcb
2,144,159,txcb
2,144,159,txcb
2,96,159,txcb
2,96,159,txcb
2,144,159,txcb
2,96,159,txcb
2,180,159,txcb
2,456,159,txcb
2,276,159,txcb
2,180,159,txcb
2,228,159,txcb
2,12,159,txcb
2,156,159,txcb
2,72,159,txcb
2,180,159,txcb
2,204,159,txcb
2,108,159,txcb
2,180,159,txcb
2,60,159,txcb
2,144,159,txcb
2,48,159,txcb
2,444,159,txcb
2,336,159,txcb
2,468,159,txcb
2,108,159,txcb
2,216,159,txcb
2,36,159,txcb
2,84,159,txcb
2,12,159,txcb
2,252,159,txcb
2,108,159,txcb
2,168,159,txcb
2,216,159,txcb
2,372,159,txcb
2,168,159,txcb
2,156,159,txcb
2,96,159,txcb
2,288,159,txcb
2,204,159,txcb
2,156,159,txcb
2,36,159,txcb
2,48,159,txcb
2,36,159,txcb
2,48,159,txcb
2,96,159,txcb
2,216,159,txcb
2,72,159,txcb
2,84,159,txcb
2,84,159,txcb
2,36,159,txcb
2,36,159,txcb
2,204,159,txcb
2,48,159,txcb
2,24,159,txcb
2,168,159,txcb
2,60,159,txcb
2,36,159,txcb
2,168,159,txcb
2,156,159,txcb
2,60,159,txcb
2,96,159,txcb
2,132,159,txcb
2,48,159,txcb
2,84,159,txcb
2,36,159,txcb
2,84,159,txcb
2,60,159,txcb
2,228,159,txcb
