behavior,counts,mouse,group
3,1296,712,silvestre
3,60,712,silvestre
3,36,712,silvestre
3,840,712,silvestre
3,372,712,silvestre
3,36,712,silvestre
3,60,712,silvestre
3,36,712,silvestre
3,2064,712,silvestre
3,1632,712,silvestre
3,48,712,silvestre
3,24,712,silvestre
3,48,712,silvestre
3,36,712,silvestre
3,36,712,silvestre
3,72,712,silvestre
3,72,712,silvestre
3,264,712,silvestre
3,1320,712,silvestre
3,24,712,silvestre
3,468,712,silvestre
3,528,712,silvestre
3,36,712,silvestre
3,192,712,silvestre
3,60,712,silvestre
3,216,712,silvestre
3,204,712,silvestre
3,456,712,silvestre
3,1512,712,silvestre
3,120,712,silvestre
3,1740,712,silvestre
3,24,712,silvestre
3,24,712,silvestre
3,36,712,silvestre
3,96,712,silvestre
3,1572,712,silvestre
3,60,712,silvestre
3,60,712,silvestre
3,24,712,silvestre
3,780,712,silvestre
3,84,712,silvestre
3,72,712,silvestre
3,24,712,silvestre
3,96,712,silvestre
3,1452,712,silvestre
3,24,712,silvestre
3,492,712,silvestre
3,816,712,silvestre
3,84,712,silvestre
3,108,712,silvestre
3,696,712,silvestre
3,60,712,silvestre
3,24,712,silvestre
3,72,712,silvestre
3,900,712,silvestre
3,24,712,silvestre
3,72,712,silvestre
3,24,712,silvestre
3,24,712,silvestre
3,1572,712,silvestre
3,36,712,silvestre
3,1644,742,silvestre
3,48,742,silvestre
3,420,742,silvestre
3,48,742,silvestre
3,1032,742,silvestre
3,48,742,silvestre
3,36,742,silvestre
3,84,742,silvestre
3,36,742,silvestre
3,264,742,silvestre
3,1056,742,silvestre
3,1416,742,silvestre
3,192,742,silvestre
3,48,742,silvestre
3,132,742,silvestre
3,24,742,silvestre
3,228,742,silvestre
3,24,742,silvestre
3,240,742,silvestre
3,48,742,silvestre
3,624,742,silvestre
3,12,742,silvestre
3,312,742,silvestre
3,48,742,silvestre
3,1572,742,silvestre
3,36,742,silvestre
3,48,742,silvestre
3,36,742,silvestre
3,24,742,silvestre
3,48,742,silvestre
3,2616,742,silvestre
3,24,742,silvestre
3,408,742,silvestre
3,1020,742,silvestre
3,480,742,silvestre
3,36,742,silvestre
3,780,742,silvestre
3,792,742,silvestre
3,648,742,silvestre
3,24,742,silvestre
3,24,742,silvestre
3,1260,742,silvestre
3,1176,742,silvestre
3,36,742,silvestre
3,24,742,silvestre
3,24,742,silvestre
3,24,742,silvestre
3,24,742,silvestre
3,216,742,silvestre
3,492,742,silvestre
3,24,742,silvestre
3,24,742,silvestre
3,1296,742,silvestre
3,792,742,silvestre
3,24,742,silvestre
3,48,742,silvestre
3,36,742,silvestre
3,48,742,silvestre
3,24,742,silvestre
3,72,742,silvestre
3,660,742,silvestre
3,336,742,silvestre
3,36,742,silvestre
3,24,742,silvestre
3,36,742,silvestre
3,1008,742,silvestre
3,24,742,silvestre
3,384,742,silvestre
3,732,742,silvestre
3,48,742,silvestre
3,252,742,silvestre
3,36,742,silvestre
3,60,742,silvestre
3,624,742,silvestre
3,408,742,silvestre
3,36,742,silvestre
3,48,742,silvestre
3,2628,742,silvestre
3,48,742,silvestre
3,324,742,silvestre
3,360,742,silvestre
3,480,742,silvestre
3,36,742,silvestre
3,60,742,silvestre
3,12,742,silvestre
3,36,742,silvestre
3,24,742,silvestre
3,756,742,silvestre
3,24,742,silvestre
3,36,742,silvestre
3,36,742,silvestre
3,1704,742,silvestre
3,72,742,silvestre
3,48,742,silvestre
3,792,742,silvestre
3,24,742,silvestre
3,36,742,silvestre
3,24,742,silvestre
3,36,742,silvestre
3,36,742,silvestre
3,36,742,silvestre
3,108,742,silvestre
3,48,742,silvestre
3,768,742,silvestre
3,216,742,silvestre
3,24,742,silvestre
3,36,742,silvestre
3,24,742,silvestre
3,36,742,silvestre
3,744,742,silvestre
3,60,742,silvestre
3,24,742,silvestre
3,456,742,silvestre
3,192,742,silvestre
3,36,742,silvestre
3,36,742,silvestre
3,84,742,silvestre
3,2640,742,silvestre
3,204,750,silvestre
3,348,750,silvestre
3,756,750,silvestre
3,24,750,silvestre
3,48,750,silvestre
3,84,750,silvestre
3,24,750,silvestre
3,72,750,silvestre
3,72,750,silvestre
3,600,750,silvestre
3,192,750,silvestre
3,252,750,silvestre
3,84,750,silvestre
3,300,750,silvestre
3,2544,750,silvestre
3,60,750,silvestre
3,72,750,silvestre
3,420,750,silvestre
3,48,750,silvestre
3,1224,750,silvestre
3,48,750,silvestre
3,36,750,silvestre
3,48,750,silvestre
3,720,750,silvestre
3,36,750,silvestre
3,36,750,silvestre
3,660,750,silvestre
3,216,750,silvestre
3,240,750,silvestre
3,24,750,silvestre
3,24,750,silvestre
3,60,750,silvestre
3,24,750,silvestre
3,348,750,silvestre
3,24,750,silvestre
3,72,750,silvestre
3,684,750,silvestre
3,24,750,silvestre
3,300,750,silvestre
3,348,750,silvestre
3,192,750,silvestre
3,408,750,silvestre
3,4020,750,silvestre
3,84,750,silvestre
